SampleSite_ID,Latitude,Longitude,MapPageID,Aspect,Elevation,Slope,TWI,Zone,Subzone,Variant,Solar_Radiation,PARENT_SOILS,SOILNAME_1,TEXTURE_1,PERCENT_1,DRAIN_1,COFRAG_1,SOILNAME_2,TEXTURE_2,PERCENT_2,DRAIN_2,COFRAG_2,SOILNAME_3,TEXTURE_3,PERCENT_3,DRAIN_3,COFRAG_3,Fire_Year_1,Fire_Number_1,Fire_Date_1,Fire_Severity_1,Severity_Patch_Size_1,Species_1,Age_1,Height_1,Crown_Closure_1,Disturbance_Type_1,Disturbance_Date_1,Harvest_Date_1,Fire_Year_2,Fire_Number_2,Fire_Date_2,Fire_Severity_2,Severity_Patch_Size_2,Species_2,Age_2,Height_2,Crown_Closure_2,Disturbance_Type_2,Disturbance_Date_2,Harvest_Date_2,Distance_to_Perimeter
1,51.61586763,-124.055771,86,72.4744339,1343,9.962429047,9.619569778,SBPS,xc,,1035101.46,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,73,13.8168602,60,,,,,,,,,,,,,,,,292.2787228
2,51.62532717,-124.08429,86,16.92751312,1485,6.010407448,7.416847706,SBPS,xc,,1040516.995,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,183,20.73883057,60,,,,,,,,,,,,,,,,24.24730316
3,51.62508345,-124.0698318,86,112.1663437,1436,7.28869009,9.788966179,SBPS,xc,,1085130.765,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,55,8.886529922,60,,,,,,,,,,,,,,,,691.808233
4,51.62483789,-124.0553738,86,110.2248611,1365,5.062114239,6.895409107,SBPS,xc,,1070549.55,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,16.29751968,40,,,,,,,,,,,,,,,,710.2135443
5,51.62459051,-124.040916,86,110.5560455,1289,8.544003487,12.52043152,SBPS,xc,,1065131.188,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,16.29751968,40,,,,,,,,,,,,,,,,336.3563414
6,51.63429745,-124.0838985,86,306.4692383,1437,7.150174618,8.747281075,SBPS,xc,,1042321.067,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,183,17.39775085,50,,,,,,,,,,,,,,,,721.2081378
7,51.63405368,-124.0694374,86,261.8699036,1448,1.767766953,8.640623093,SBPS,xc,,1074493.072,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,63,12.08006001,70,,,,,,,,,,,,,,,,1433.375353
8,51.63380808,-124.0549765,86,121.8659744,1397,21.78302002,6.534674644,SBPS,xc,,1114108.3,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,156,12.39665985,50,,,,,,,,,,,,,,,,1447.716778
9,51.63356065,-124.0405157,86,80.21759033,1326,7.356969357,7.214692593,SBPS,xc,,1045841.117,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,16.29751968,40,,,,,,,,,,,,,,,,448.8020382
10,51.63280734,-123.9971344,86,257.4711914,1355,4.609772205,6.989015102,SBPS,xc,,1065060.825,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,73,11.64898968,30,,,,,,,,,,,,,,,,712.5203202
11,51.63255258,-123.9826743,86,286.6992493,1400,5.220153332,7.557813644,SBPS,xc,,1055887.147,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,163,18.49247932,50,,,,,,,,,,,,,,,,571.0009742
12,51.63229598,-123.9682144,87,0,1430,3.5,9.903487206,SBPS,xc,,1048492.547,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,148,20.23560905,30,,,,,,,,,,,,,,,,168.9053594
13,51.61642891,-123.2165595,89,282.2647705,1468,11.76860237,6.051758289,SBPS,xc,,1053608.665,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2009,C20442,2009-08-01,Unknown,167.5119125,SX,7,0.3,1,,,1997-07-01,,,,,,,,,,,,,61.18195118
14,51.64326766,-124.0835069,86,290.2248535,1405,10.12422848,7.300874233,SBPS,xc,,1040024.72,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,63,10.9913702,70,,,,,,,,,,,,,,,,740.1682824
15,51.64302384,-124.0690429,86,285.9454041,1445,3.640054941,7.225194454,SBPS,xc,,1065697.835,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,63,12.08006001,50,,,,,,,,,,,,,,,,1718.460499
16,51.64277819,-124.054579,86,120.5297089,1436,11.31923103,7.700128078,SBPS,xc,,1100552.768,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,63,12.08006001,50,,,,,,,,,,,,,,,,1716.808276
17,51.64253071,-124.0401153,86,104.9314194,1333,15.52417469,9.979487419,SBPS,xc,,1070222.571,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,143,17.62000084,60,,,,,,,,,,,,,,,,992.594608
18,51.64203024,-124.0111883,86,262.5686035,1324,5.798706532,7.858170986,SBPS,xc,,1058421.278,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,16.29751968,40,,,,,,,,,,,,,,,,932.3068535
19,51.64177726,-123.9967251,86,232.5946503,1359,5.350233555,7.93866539,SBPS,xc,,1078483.023,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,53,9.234080315,50,,,,,,,,,,,,,,,,1390.267322
20,51.62504189,-123.2015387,89,292.0679016,1483,19.96246529,6.621952057,SBPS,xc,,1012606.482,TILL ,KLOAKUT,L,70,MW,35,WILLAN LAKE,SL,30,W,,,-,,,,2009,C20442,2009-08-01,Unknown,167.5119125,PL,82,13.8,60,,,,,,,,,,,,,,,,112.2398363
21,51.65272002,-124.1120497,86,69.44395447,1194,4.272001743,7.065110683,IDF,dw,,1027075.867,GLACIOFLUVIAL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,103,17.5050602,30,,,,,,,,,,,,,,,,279.7101127
22,51.65247982,-124.0975823,86,295.3461609,1236,5.25594902,6.857832909,IDF,dw,,1027379.213,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,123,16.82888031,60,,,,,,,,,,,,,,,,392.2594707
23,51.65223779,-124.0831152,86,280.3048401,1381,11.18033981,7.489330769,SBPS,xc,,1044998.449,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,63,10.9913702,70,,,,,,,,,,,,,,,,992.599342
24,51.65199392,-124.0686482,86,247.6198578,1437,4.596194267,8.378258705,SBPS,xc,,1080928.964,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,113,15.93686962,50,,,,,,,,,,,,,,,,1845.985507
25,51.65174822,-124.0541813,86,326.8886719,1453,6.864765167,7.283938885,SBPS,xc,,1035699.661,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,63,12.08006001,50,,,,,,,,,,,,,,,,2384.083903
26,51.65150069,-124.0397147,86,118.6861496,1387,15.10380745,9.169542313,SBPS,xc,,1098431.005,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,156,12.39665985,50,,,,,,,,,,,,,,,,1929.16289
27,51.65100013,-124.0107818,86,261.2538452,1352,6.576473236,7.326842308,SBPS,xc,,1063548.654,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,43,8.882109642,20,,,,,,,,,,,,,,,,1928.3406
28,51.6507471,-123.9963156,86,180,1367,2.5,11.0974102,SBPS,xc,,1076856.007,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,SE,103,16.00227928,40,,,,,,,,,,,,,,,,2197.110973
29,51.65049223,-123.9818496,86,149.0362396,1405,1.457737923,8.140307426,SBPS,xc,,1075269.522,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,148,20.23560905,30,,,,,,,,,,,,,,,,1596.560071
30,51.64971664,-123.9384526,87,291.0375061,1435,3.482097149,10.10277176,SBPS,xc,,1063045.452,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,126,17.5900898,50,,,,,,,,,,,,,,,,918.9460015
31,51.64945444,-123.9239873,87,322.1250305,1463,2.850438595,8.856015205,SBPS,xc,,1061065.669,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,113,15.93686962,60,,,,,,,,,,,,,,,,641.6971028
32,51.64919041,-123.9095221,87,321.3401794,1464,3.201562166,8.962992668,SBPS,xc,,1059430.395,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,13.20049953,60,,,,,,,,,,,,,,,,173.0266564
33,51.64892455,-123.8950572,87,21.80140877,1458,2.692582369,7.526692867,SBPS,xc,,1059016.538,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,42,8.218119621,50,,,,,,,,,,,,,,,,197.9924216
34,51.64865686,-123.8805923,87,90,1434,4,8.517193794,SBPS,xc,,1070400.228,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,42,8.218119621,50,,,,,,,,,,,,,,,,234.5481764
35,51.64811597,-123.8516633,87,58.49573517,1412,9.089829445,6.310037136,SBPS,xc,,1035421.684,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,43,6.059229851,30,,,,,,,,,,,,,,,,70.15209856
36,51.64784278,-123.837199,88,14.7435627,1390,4.911720753,8.024181366,SBPS,xc,,1035149.14,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,86,9.689259529,70,,,,,,,,,,,,,,,,53.67497766
37,51.66144992,-124.0971934,86,271.5481567,1226,9.253377914,9.000254631,SBPS,xc,,1036015.262,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,AT,43,10.85783005,60,,,,,,,,,,,,,,,,707.6876996
38,51.66120784,-124.0827233,86,278.6156616,1366,8.34416008,11.61056709,SBPS,xc,,1050288.885,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,113,13.90822983,2,,,,,,,,,,,,,,,,1695.410733
39,51.66096392,-124.0682533,86,291.8014221,1431,5.385164738,6.833545685,SBPS,xc,,1057077.047,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,218,17.58605003,30,,,,,,,,,,,,,,,,2391.351804
40,51.66071818,-124.0537835,86,74.05460358,1424,7.280109882,7.918341637,SBPS,xc,,1055036.472,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,14.24468994,60,,,,,,,,,,,,,,,,2209.870959
41,51.6604706,-124.0393139,86,76.6075058,1397,5.39675808,6.831395149,SBPS,xc,,1057311.933,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,164,15.44744968,3,,,,,,,,,,,,,,,,1362.659552
42,51.66022118,-124.0248444,86,82.87498474,1325,4.031128883,7.123147011,SBPS,xc,,1052102.343,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,156,12.39665985,50,,,,,,,,,,,,,,,,859.0396265
43,51.65996993,-124.0103751,86,230.1944275,1360,3.905124903,7.154903889,SBPS,xc,,1075678.633,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,43,10.14239025,50,,,,,,,,,,,,,,,,1216.432686
44,51.65971685,-123.995906,86,319.7636414,1389,4.25734663,7.761694431,SBPS,xc,,1044449.788,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,191,19.14495087,20,,,,,,,,,,,,,,,,1885.532941
45,51.65946194,-123.981437,86,356.1859131,1379,3.758324146,8.579514503,SBPS,xc,,1040332.284,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,SE,173,21.93073082,50,,,,,,,,,,,,,,,,1834.035072
46,51.65920519,-123.9669682,87,0,1380,2,8.517193794,SBPS,xc,,1051763.943,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,66,12.7676897,60,,,,,,,,,,,,,,,,1664.154602
47,51.65842395,-123.9235629,87,278.1300964,1446,1.767766953,8.640623093,SBPS,xc,,1071625.392,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,146,16.95986938,30,,,,,,,,,,,,,,,,1421.324893
48,51.65789395,-123.8946268,87,336.8014221,1447,1.9039433,7.87326622,SBPS,xc,,1062468.046,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,13.20049953,60,,,,,,,,,,,,,,,,1127.041382
49,51.65762621,-123.8801591,87,65.55604553,1422,3.02076149,8.104831696,SBPS,xc,,1061903.14,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,14.24468994,60,,,,,,,,,,,,,,,,1145.683831
50,51.65708521,-123.8512241,87,35.53767776,1389,4.30116272,15.03798962,SBPS,xc,,1042787.763,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,43,6.059229851,30,,,,,,,,,,,,,,,,842.6339983
51,51.65681197,-123.8367569,88,130.2363586,1382,4.25734663,7.068547249,SBPS,xc,,1080900.693,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,14.24468994,40,,,,,,,,,,,,,,,,869.6201574
52,51.65653689,-123.8222898,88,116.5650482,1344,5.590169907,6.796183586,SBPS,xc,,1072797.469,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,12.18043041,30,,,,,,,,,,,,,,,,862.2577583
53,51.65625997,-123.807823,88,158.9624939,1218,27.85677719,6.576411247,IDF,dk,4,1150237.928,GLACIOFLUVIAL ,HAWKS,SIL,70,R,25,SHEMWELL,SL,30,W,28,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,AT,43,8.250169754,20,,,,,,,,,,,,,,,,163.0043
54,51.67041994,-124.0968043,86,277.4313965,1220,5.798706532,8.145853043,SBPS,xc,,1034485.514,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,SE,160,25.12166977,50,,,,,,,,,,,,,,,,651.4984733
55,51.67017781,-124.0823312,86,303.6900635,1329,10.81665421,7.2347188,SBPS,xc,,1014349.54,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,103,20.39796066,50,,,,,,,,,,,,,,,,1633.002652
56,51.66993385,-124.0678583,86,306.4692383,1410,7.150174618,9.322645187,SBPS,xc,,1039008.18,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,218,17.58605003,30,,,,,,,,,,,,,,,,2260.252481
57,51.66968805,-124.0533855,86,58.24052048,1416,6.174544334,9.529972076,SBPS,xc,,1046770.021,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,164,15.44744968,3,,,,,,,,,,,,,,,,1481.73857
58,51.66944042,-124.038913,86,293.1985779,1384,1.9039433,9.259560585,SBPS,xc,,1059756.218,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,73,11.64898968,50,,,,,,,,,,,,,,,,892.6954343
59,51.66893966,-124.0099683,86,270,1357,3.5,8.873867989,SBPS,xc,,1060100.628,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,13.20049953,40,,,,,,,,,,,,,,,,865.8710587
60,51.66868653,-123.9954962,86,356.6335449,1387,4.25734663,8.167160034,SBPS,xc,,1038198.804,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,143,18.61808014,10,,,,,,,,,,,,,,,,962.8394837
61,51.66817477,-123.9665525,87,284.0362549,1349,6.184658527,7.388268948,SBPS,xc,,1047870.352,ORGANIC ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,13.20049953,30,,,,,,,,,,,,,,,,1326.552679
62,51.66791614,-123.9520809,87,294.4439697,1372,6.04152298,8.915761948,SBPS,xc,,1045447.537,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,66,12.7676897,60,,,,,,,,,,,,,,,,2163.744303
63,51.66739338,-123.9231383,87,309.2893982,1439,3.553167582,7.942501068,SBPS,xc,,1057571.338,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,126,17.5900898,50,,,,,,,,,,,,,,,,2349.308377
64,51.66578108,-123.8363146,88,153.4349518,1385,1.118034005,8.405621529,SBPS,xc,,1071456.504,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,123,16.82888031,30,,,,,,,,,,,,,,,,1798.174246
65,51.67938988,-124.096415,86,296.5650635,1227,4.472136021,9.584276199,SBPS,xc,,1028388.145,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,AT,43,10.85783005,60,,,,,,,,,,,,,,,,311.2102551
66,51.67914771,-124.081939,86,278.1300964,1309,7.07106781,7.659794331,SBPS,xc,,1045310.158,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,218,17.58605003,30,,,,,,,,,,,,,,,,1109.851784
67,51.6789037,-124.0674631,86,303.6900635,1378,7.211102486,6.541571617,SBPS,xc,,1036424.782,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,218,17.58605003,30,,,,,,,,,,,,,,,,1863.513528
68,51.67865785,-124.0529874,86,12.26477337,1405,5.884301186,9.309854507,SBPS,xc,,1030169.487,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,164,15.44744968,3,,,,,,,,,,,,,,,,959.3685818
69,51.67841018,-124.0385119,86,75.96375275,1361,10.30776405,7.28290844,SBPS,xc,,1040654.505,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,164,15.44744968,3,,,,,,,,,,,,,,,,84.54716803
70,51.67816066,-124.0240365,86,212.1957397,1333,7.976528168,7.133837223,SBPS,xc,,1094845.946,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,85,14.62073994,50,,,,,,,,,,,,,,,,242.0973569
71,51.67790932,-124.0095613,86,3.814074755,1348,3.758324146,7.886367321,SBPS,xc,,1036168.191,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,113,14.91963959,20,,,,,,,,,,,,,,,,1004.507164
72,51.67765614,-123.9950862,86,25.55996513,1353,6.373774529,6.665001392,SBPS,xc,,1023274.266,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,123,16.82888031,20,,,,,,,,,,,,,,,,391.8978327
73,51.67714427,-123.9661366,87,63.43494797,1334,3.354101896,8.916447639,SBPS,xc,,1047594.884,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,13.20049953,30,,,,,,,,,,,,,,,,932.1538292
74,51.67688559,-123.9516621,87,259.6951599,1366,5.590169907,6.796183586,SBPS,xc,,1066480.543,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,SE,173,20.93918991,60,,,,,,,,,,,,,,,,1683.816519
75,51.67391905,-123.7924538,88,91.27303314,1235,11.2527771,7.19519043,IDF,dk,4,1036901.244,TILL ,HAWKS,SIL,70,R,25,SHEMWELL,SL,30,W,28,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,143,17.62000084,10,,,,,,,,,,,,,,,,367.9873608
76,51.67363836,-123.7779813,88,332.8786926,1184,11.51629257,9.965250969,IDF,dk,4,959917.0465,GLACIOFLUVIAL ,HAWKS,SIL,70,R,25,SHEMWELL,SL,30,W,28,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,AT,93,16.39522934,40,,,,,,,,,,,,,,,,73.72235453
77,51.68811752,-124.0815466,86,265.1009216,1286,8.782084465,7.443091869,SBPS,xc,,1051356.968,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,AT,43,12.17461967,40,,,,,,,,,,,,,,,,481.4318944
78,51.68787347,-124.0670677,86,254.0546112,1350,3.640054941,11.96139336,SBPS,xc,,1064729.641,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,70,14.08819962,60,,,,,,,,,,,,,,,,1252.872642
79,51.68687889,-124.0091541,86,352.5686035,1334,5.798706532,6.759558678,SBPS,xc,,1021259.94,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,13.20049953,20,,,,,,,,,,,,,,,,380.6309123
80,51.6863706,-123.9801982,86,108.4349518,1343,3.952847004,7.142757416,SBPS,xc,,1065995.5,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,106,15.45221043,30,,,,,,,,,,,,,,,,149.8460761
81,51.68585497,-123.9512431,87,239.8264771,1394,12.43482971,5.996692181,SBPS,xc,,1096550.418,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,103,15.08201981,20,,,,,,,,,,,,,,,,1091.756065
82,51.6855944,-123.9367658,87,197.4471893,1460,9.17196846,6.301041603,SBPS,xc,,1124969.685,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,16.29751968,40,,,,,,,,,,,,,,,,2007.48517
83,51.68288784,-123.7920022,88,37.87498474,1298,2.850438595,11.02506828,SBPS,xc,,1038884.348,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,158,17.13030052,10,,,,,,,,,,,,,,,,1149.090286
84,51.68232452,-123.7630517,88,101.3099289,1288,3.824264526,7.175827026,SBPS,xc,,1055682.247,TILL ,HAWKS,SIL,70,R,25,SHEMWELL,SL,30,W,28,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,82,11.25854969,60,,,,,,,,,,,,,,,,726.0920824
85,51.68204011,-123.7485767,88,321.7098389,1182,30.25929642,6.716827869,IDF,dk,4,848317.8948,FLUVIAL ,HAWKS,SIL,70,R,25,SHEMWELL,SL,30,W,28,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,66,12.7676897,70,,,,,,,,,,,,,,,,503.4038286
86,51.68175386,-123.7341019,88,108.004158,1157,21.02974129,5.471255779,IDF,dk,4,1049982.13,GLACIOFLUVIAL ,HAWKS,SIL,100,R,25,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,123,16.82888031,40,,,,,,,,,,,,,,,,327.6762457
87,51.69708727,-124.081154,86,318.1798401,1258,6.373774529,7.763614178,SBPS,xc,,1016544.589,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,70,14.08819962,60,,,,,,,,,,,,,,,,100.4143706
88,51.69684316,-124.0666722,86,311.8201599,1309,6.373774529,7.763614178,SBPS,xc,,1026018.818,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,93,13.20049953,60,,,,,,,,,,,,,,,,417.1933242
89,51.69659722,-124.0521906,86,320.04245,1355,12.06751823,7.972586155,SBPS,xc,,996960.0652,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2003,C50214,2003-07-22,Unknown,27655.62884,PL,173,17.45218086,20,,,,,,,,,,,,,,,,448.3305618
90,51.69534,-123.979785,86,11.30993271,1326,5.099019527,7.986757278,SBPS,xc,,1024975.39,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,106,15.45221043,30,,,,,,,,,,,,,,,,189.2910428
91,51.69482426,-123.9508239,87,295.8663635,1406,18.33712006,7.554176331,SBPS,xc,,1002655.783,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,63,8.674799919,60,,,,,,,,,,,,,,,,933.4915642
92,51.69456365,-123.9363436,87,352.5686035,1479,11.59741306,8.263635635,SBPS,xc,,999578.6067,TILL ,KLOAKUT,L,100,MW,35,,-,,,,,-,,,,2003,C50214,2003-07-22,Unknown,27655.62884,PL,143,16.63518906,40,,,,,,,,,,,,,,,,1921.986967
